entity,population
Afghanistan,39835428
Africa,1373486472
Albania,2872934
Algeria,44616626
American Samoa,55103
Andorra,77354
Angola,33933611
Anguilla,15125
Antigua and Barbuda,98728
Argentina,45605823
Armenia,2968128
Aruba,107195
Asia,4679660580
Australia,25788217
Austria,9043072
Azerbaijan,10223344
Bahamas,396914
Bahrain,1748295
Bangladesh,166303494
Barbados,287708
Belarus,9442867
Belgium,11632334
Belize,404915
Benin,12451031
Bermuda,62092
Bhutan,779900
Bolivia,11832936
Bonaire Sint Eustatius and Saba,26445
Bosnia and Herzegovina,3263459
Botswana,2397240
Brazil,213993441
British Virgin Islands,30423
Brunei,441532
Bulgaria,6896655
Burkina Faso,21497097
Burundi,12255429
Cambodia,16946446
Cameroon,27224262
Canada,38067913
Cape Verde,561901
Cayman Islands,66498
Central African Republic,4919987
Chad,16914985
Channel Islands,175244
Chile,19212362
China,1444216102
Colombia,51265841
Comoros,888456
Congo,5657017
Cook Islands,17572
Costa Rica,5139053
Cote d'Ivoire,27053629
Croatia,4081657
Cuba,11317498
Curacao,164796
Cyprus,1215588
Czechia,10724553
Democratic Republic of Congo,92377986
Denmark,5813302
Djibouti,1002197
Dominica,72172
Dominican Republic,10953714
Ecuador,17888474
Egypt,104258327
El Salvador,6518500
Equatorial Guinea,1449891
Eritrea,3601462
Estonia,1325188
Eswatini,1172369
Ethiopia,117876226
Europe,747747396
Faeroe Islands,49053
Falkland Islands,3528
Fiji,902899
Finland,5548361
France,65426177
French Guiana,306450
French Polynesia,282534
Gabon,2278829
Gambia,2486937
Georgia,3979773
Germany,83900471
Ghana,31732128
Gibraltar,33691
Greece,10370747
Greenland,56868
Grenada,113015
Guadeloupe,400013
Guam,170184
Guatemala,18249868
Guinea,13497237
Guinea-Bissau,2015490
Guyana,790329
Haiti,11541683
Honduras,10062994
Hong Kong,7552800
Hungary,9634162
Iceland,343360
India,1393409033
Indonesia,276361788
Iran,85028760
Iraq,41179351
Ireland,4982904
Isle of Man,85410
Israel,8789776
Italy,60367471
Jamaica,2973462
Japan,126050796
Jordan,10269022
Kazakhstan,18994958
Kenya,54985702
Kiribati,121388
Kosovo,1932774
Kuwait,4328553
Kyrgyzstan,6628347
Laos,7379358
Latin America,651646215
Latvia,1866934
Lebanon,6769151
Lesotho,2159067
Liberia,5180208
Libya,6958538
Liechtenstein,38254
Lithuania,2689862
Luxembourg,634814
Macao,658391
Madagascar,28427333
Malawi,19647681
Malaysia,32776195
Maldives,543620
Mali,20855724
Malta,442790
Marshall Islands,59618
Martinique,374743
Mauritania,4775110
Mauritius,1273428
Mayotte,279507
Mexico,130262220
Micronesia (country),116255
Moldova,4024025
Monaco,39520
Mongolia,3329282
Montenegro,628051
Montserrat,4981
Morocco,37344787
Mozambique,32163045
Myanmar,54806014
Namibia,2587344
Nauru,10873
Nepal,29674920
Netherlands,17173094
New Caledonia,288217
New Zealand,4860642
Nicaragua,6702379
Niger,25130810
Nigeria,211400704
Niue,1614
North America,596581283
North Korea,25887045
North Macedonia,2082661
Northern Mariana Islands,57910
Norway,5465629
Oceania,43219954
Oman,5223376
Pakistan,225199929
Palau,18174
Palestine,5222756
Panama,4381583
Papua New Guinea,9119005
Paraguay,7219641
Peru,33359415
Philippines,111046910
Poland,37797000
Portugal,10167923
Puerto Rico,2828246
Qatar,2930524
Reunion,901696
Romania,19127772
Russia,145912022
Rwanda,13276517
Saint Barthlemy,9909
Saint Helena,6095
Saint Kitts and Nevis,53546
Saint Lucia,184401
Saint Martin (French part),39239
Saint Pierre and Miquelon,5771
Saint Vincent and the Grenadines,111269
Samoa,200144
San Marino,34010
Sao Tome and Principe,223364
Saudi Arabia,35340680
Senegal,17196308
Serbia,8697547
Seychelles,98910
Sierra Leone,8141343
Singapore,5896684
Sint Maarten (Dutch part),43421
Slovakia,5460726
Slovenia,2078723
Solomon Islands,703995
Somalia,16359500
South Africa,60041996
South America,434260138
South Korea,51305184
South Sudan,11381377
Spain,46745211
Sri Lanka,21497306
Sudan,44909351
Suriname,591798
Sweden,10160159
Switzerland,8715494
Syria,18275704
Taiwan,23855008
Tajikistan,9749625
Tanzania,61498438
Thailand,69950844
Timor,1343875
Togo,8478242
Tokelau,1368
Tonga,106759
Trinidad and Tobago,1403374
Tunisia,11935764
Turkey,85042736
Turkmenistan,6117933
Turks and Caicos Islands,39226
Tuvalu,11925
Uganda,47123533
Ukraine,43466822
United Arab Emirates,9991083
United Kingdom,68207114
United States,332915074
United States Virgin Islands,104218
Uruguay,3485152
Uzbekistan,33935765
Vanuatu,314464
Vatican,812
Venezuela,28704947
Vietnam,98168829
Wallis and Futuna,11094
Western Sahara,611872
World,7874965732
Yemen,30490639
Zambia,18920657
Zimbabwe,15092171
